Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
20.66, 0.05154746608281411, 0.005475148336258227, 0.8814400391481577, 0.01358841327390506, -0.004055646782913158, -0.02758778704030277, 0.04878214892874342, 0.006814357208000263, 0.8786088125437139, 0.8609652927, 122890.3402, 27.1491164469, 1032.12766896,  20.65895510089313, -0.06427583695069394,  17.61470881397391,  20.65895510089313, -0.06427583695069394,  17.61470881397391,   -873.69447812569,  -548.897593218613, -25.63037435822808, -16.78694097263218, -8.902645242727278,   19.3911331318757, 600.78219792619, 600.78219792619, 0.4953663354866258, -5.132876882477989,  208.5914459207294, 40.452329051684, -0.13564852578233, 46.999741727507, 122.00006493061, -7581116.641072095,    12091698.290888,   15304426.6379383,  -7562882.45916844,  12103111.41782171,   15304426.6379383, 0.086360792313405, 600.78219792619, 0, 20.477730676220666, 600.78219792619348
20.67, 0.05168206051618123, 0.005435336953685848, 0.8811663783396544, 0.01351633814749001, -0.003979329333106985, -0.02744096195080972, 0.04891695208050999, 0.006774945654943101,   0.87833513703648, 0.8609648369, 122890.5295, 27.1490319698, 1032.12505113,  20.65888700780303, -0.06432173046841072,  17.61465830532321,  20.65888700780303, -0.06432173046841072,  17.61465830532321, -873.6913355071285, -548.8977209456194, -25.62934591958509, -16.78548522374218, -8.905238302171421,  19.39108437678366, 600.5882920064, 600.5882920064,  0.495090839284155, -5.132897988943678,  208.6002943100563, 40.452341177056, -0.13574580260067, 46.999741267849, 122.00006457325, -7581125.378032595,   12091692.8019127,  15304426.38162941, -7562882.378666386,  12103111.45696571,  15304426.38162941, 0.086402573054728, 600.5882920064, 0, 20.477721472791227, 600.58829200640321
20.68, 0.05181594004823351, 0.005396282830507659, 0.8808941738140657, 0.01344465161857734, -0.003903421520960881, -0.02729493578151783, 0.04905104030915189, 0.006736291131002241, 0.8780629177963977, 0.8609643898, 122890.7195, 27.1489476293, 1032.12243453,  20.65881909025323, -0.06436737947274551,  17.61460780193723,  20.65881909025323, -0.06436737947274551,  17.61460780193723, -873.6881939587505, -548.8978492674091, -25.62831770810822, -16.78402967304096,  -8.90783013771356,  19.39103574768447, 600.39438657463, 600.39438657463, 0.4948169275830012, -5.132919423871846,   208.609139956113, 40.452353070596, -0.13584256331356, 46.999740808231, 122.0000642158, -7581134.114961663,  12091687.31293613,  15304426.12533081, -7562882.298136867,  12103111.49611471,  15304426.12533081, 0.08644435379605, 600.39438657463, 0, 20.477712442943652, 600.39438657462597
20.69, 0.05194910852928734, 0.005357981715956139, 0.8806234176487499, 0.01337335135378534, -0.00382793356781559, -0.02714970410962679, 0.0491844174656248, 0.006698389386485633, 0.8777921469006078, 0.8609639513, 122890.9101, 27.1488634247, 1032.11981916,  20.65875134742882, -0.0644127852860592,  17.61455730389833,  20.65875134742882, -0.0644127852860592,  17.61455730389833, -873.6850534755743, -548.8979781798525, -25.62728972138299, -16.78257431953349, -8.910420755773307,  19.39098724223318, 600.20048163086, 600.20048163086, 0.4945445918945907, -5.132941180105471,  208.6179828735529, 40.452364733547, -0.13593881070831, 46.999740348652, 122.00006385823, -7581142.851859311,  12091681.82395828,  15304425.86904249, -7562882.217579894,   12103111.5352687,  15304425.86904249, 0.086486134537373, 600.20048163086, 0, 20.477703585867488, 600.20048163086176
20.7, 0.05208156978802574, 0.005320429261382401,  0.880354101965126, 0.01330243513289731, -0.003752875406599764, -0.02700526252338282, 0.04931708737924759, 0.006661236073813891, 0.8775228164703138, 0.8609635213, 122891.1013, 27.1487793555, 1032.117205,  20.65868377848889, -0.06445794922239578,  17.61450681128658,  20.65868377848889, -0.06445794922239578,  17.61450681128658, -873.6819140526477, -548.8981076788648, -25.62626195698579, -16.78111916220137,  -8.91301016272171,  19.39093885809357, 600.00657717139, 600.00657717511, 0.4942738237770658, -5.132963250528067,  208.6268230769495, 40.452376167189, -0.13603454755485, 46.999739889114, 122.00006350057, -7581151.588725548,  12091676.33497914,  15304425.61276445, -7562882.136995477,  12103111.57442768,  15304425.61276445, 0.086527915278695, 600.00657717511, 0, 20.477694900684728, 600.00657717138529
20.71, 0.05221332762960286, 0.005283621022045765, 0.8800862189281763, 0.01323190064693756, -0.003678256754838983, -0.02686160664788202, 0.04944905385580673, 0.006624826749309904, 0.8772549186702834, 0.8609630998, 122891.2931, 27.1486954209, 1032.11459206,  20.65861638256752, -0.06450287258843979,  17.61445632417885,  20.65861638256752, -0.06450287258843979,  17.61445632417885, -873.6787756850478, -548.8982377604058, -25.62523441248431, -16.77966420000386, -8.915598364880939,  19.39089059293778, 599.8126731962, 599.8126731962, 0.4940046148349229, -5.132985628064767,   208.635660580797, 40.452387372827, -0.13612977660773, 46.999739429615, 122.0000631428, -7581160.325560386,  12091670.84599871,  15304425.35649669, -7562882.056383627,  12103111.61359163,  15304425.35649669, 0.086569696020017, 599.8126731962, 0, 20.477686386584914, 599.81267319619656
20.72, 0.05234438583785095, 0.005247552460128144, 0.8798197607464798, 0.01316174570450918, -0.003604087057207228, -0.02671873211830929, 0.04958032067976323, 0.006589156876213256, 0.8769884457088828, 0.8609626868, 122891.4855, 27.1486116205, 1032.11198032,  20.65854915877372, -0.06454755668263701,     17.61440584265,  20.65854915877372, -0.06454755668263701,     17.61440584265, -873.6756383678804, -548.8983684204801, -25.62420708543794, -16.77820943187697, -8.918185368525014,   19.3908424444477, 599.61876970157, 599.61876969784, 0.4937369567188276, -5.133008305683228,  208.6444953995104, 40.4523983518, -0.13622450060428, 46.999738970157, 122.00006278493, -7581169.062363835,  12091665.35701698,  15304425.10023921, -7562881.975744354,  12103111.65276056,  15304425.10023921, 0.08661147676134, 599.61876969784, 0, 20.477678042656244, 599.61876970157027
20.73, 0.05247474817327388, 0.00521221894688108, 0.8795547196717044, 0.0130919680196978, -0.00353037552439757, -0.02657663460697427, 0.04971089161224616, 0.006554221826827297,  0.876723389837569, 0.8609622823, 122891.6785, 27.1485279536, 1032.10936978,  20.65848210619252, -0.06459200279623545,  17.61435536677189,  20.65848210619252, -0.06459200279623545,  17.61435536677189,   -873.67250209628, -548.8984996551369, -25.62317997339816, -16.77675485673465, -8.920771179879488,  19.39079441031444, 599.42486669496, 599.42486669496, 0.4934708411252726, -5.133031276394562,  208.6533275474261, 40.452409105475, -0.13631872226679, 46.999738510738, 122.00006242695, -7581177.799135906,  12091659.86803395,    15304424.843992,  -7562881.89507767,  12103111.69193445,    15304424.843992, 0.086653257502662, 599.42486669496, 0, 20.477669868020698, 599.42486669495702
20.74, 0.05260441837552196, 0.005177615765167426, 0.8792910879986677, 0.01302256543995957, -0.003457131119553454, -0.0264353097945765, 0.04984077039352737, 0.006520016885060852, 0.8764597433509499, 0.8609618861, 122891.8722, 27.1484444194, 1032.10676044,  20.65841522388533, -0.06463621221239357,  17.61430489661407,  20.65841522388533, -0.06463621221239357,  17.61430489661407, -873.6693668654093,   -548.89863146047, -25.62215307390896, -16.77530047346826, -8.923355805122384,  19.39074648823937, 599.23096416518, 599.23096416518, 0.4932062597963426, -5.133054533254309,  208.6621570388023, 40.452419635244, -0.13641244430066, 46.999738051358, 122.00006206887, -7581186.535876609,  12091654.37904961,  15304424.58775507, -7562881.814383584,  12103111.73111331,  15304424.58775507, 0.086695038243985, 599.23096416518, 0, 20.477661861732685, 599.23096416518092
20.75, 0.05273340016115144, 0.005143738111906163, 0.8790288580648203, 0.01295353570795812, -0.00338436256040845, -0.02629475339909044, 0.04996996074078102, 0.00648653724887308, 0.8761974985862678, 0.8609614982, 122892.0664, 27.1483610173, 1032.10415228,  20.65834851089054, -0.06468018620691751,  17.61425443224342,  20.65834851089054, -0.06468018620691751,  17.61425443224342, -873.6662326704591, -548.8987638326179, -25.62112638450727, -16.77384628094715, -8.925939250383935,  19.39069867593408, 599.03706211969, 599.03706212342, 0.4929432045194679, -5.133078069363278,  208.6709838878193, 40.452429942532, -0.13650566939588, 46.999737592019, 122.00006171068, -7581195.272585954,  12091648.89006396,  15304424.33152841, -7562881.733662107,  12103111.77029712,  15304424.33152841, 0.086736818985307, 599.03706212342, 0, 20.477654022812832, 599.03706211969256
