Time, P (deg/s), Q (deg/s), R (deg/s), P dot (deg/s^2), Q dot (deg/s^2), R dot (deg/s^2), P_{inertial} (deg/s), Q_{inertial} (deg/s), R_{inertial} (deg/s), q bar (psf), Reynolds Number, V_{Total} (ft/s), V_{Inertial} (ft/s), UBody, VBody, WBody, Aero V_{X Body} (ft/s), Aero V_{Y Body} (ft/s), Aero V_{Z Body} (ft/s), V_{X_{inertial}} (ft/s), V_{Y_{inertial}} (ft/s), V_{Z_{inertial}} (ft/s), V_{North} (ft/s), V_{East} (ft/s), V_{Down} (ft/s), Altitude ASL (ft), Altitude AGL (ft), Phi (deg), Theta (deg), Psi (deg), Alpha (deg), Beta (deg), Latitude (deg), Longitude (deg), X_{ECI} (ft), Y_{ECI} (ft), Z_{ECI} (ft), X_{ECEF} (ft), Y_{ECEF} (ft), Z_{ECEF} (ft), Earth Position Angle (deg), Distance AGL (ft), Terrain Elevation (ft), vc-fps, h-sl-ft
20.82, 0.04699717997233449, 0.002370624689873654, 0.6489961266065418, 7.860810877768996e-005, -9.460054656616454e-005, -0.0003537409122814843, 0.04951262143896551, 0.001636446673173975, 0.6457419231217335, 0.7876988364, 117571.0607, 25.9592742418, 1044.78313974,  16.78653870184652, -0.04012944030497534,  19.80137437651332,  16.78653870184652, -0.04012944030497534,  19.80137437651332, -871.5672925306545, -576.1198443808891, -5.309291964562192,  14.75663007468769,  3.780907927555387,  21.01976505995556, 577.17141962796, 577.17141962796, 0.1649609379462854, -4.358982854422844,  14.73640083897131, 49.710517335166, -0.088571369832283, 47.000964203453, 122.00016362177, -7581096.530880095,  12091306.47749949,  15304713.87143575, -7562721.731980136,  12102807.81256889,  15304713.87143575, 0.087029284174564, 577.17141962796, 0, 16.645042863220173, 577.1714196279645
20.83, 0.04699803863150003, 0.002370031859169072, 0.6489925970914972, 7.799089541546991e-005, -9.182993667562883e-005, -0.0003527436794988287, 0.04951339826574546, 0.001635542227825219, 0.6457384006707742, 0.7876988381, 117571.291, 25.9591941724, 1044.78478605,  16.78648688148427, -0.04012959876214184,   19.8013133371253,  16.78648688148427, -0.04012959876214184,   19.8013133371253, -871.5684816287075, -576.1210284930947, -5.309567901499261,  14.75615472424494,  3.782581106090803,  21.01969885478943, 576.9612275064, 576.96122750267, 0.1649362132955732, -4.358977418158659,  14.74290976192432, 49.710517460521, -0.088571992763577, 47.000964607477, 122.00016377353, -7581105.246547075,  12091300.71630696,  15304713.81834421, -7562721.630883548,  12102807.57944845,  15304713.81834421, 0.087071064915886, 576.96122750267, 0, 16.645042834962165, 576.96122750639915
20.84, 0.04699889120844866, 0.002369466023197155, 0.6489890774454493, 7.737733580473177e-005, -8.910605812628074e-005, -0.000351753177262909, 0.04951416897513231, 0.001634664787599647, 0.6457348880911894, 0.7876988402, 117571.5212, 25.9591141081, 1044.78643228,  16.78643506661811, -0.04012975550423359,  19.80125229961448,  16.78643506661811, -0.04012975550423359,  19.80125229961448, -871.5696707359613, -576.1222124600802, -5.309843965241859,  14.75567919117342,  3.784254215035155,  21.01963265267128, 576.75103605166, 576.75103605166,  0.164911500507845, -4.358971984785303,  14.74941864951296, 49.710517579302, -0.088572611896271, 47.000965011489, 122.00016392536, -7581113.962225946,   12091294.9551026,  15304713.76524991, -7562721.529803231,  12102807.34632248,  15304713.76524991, 0.087112845657209, 576.75103605166, 0, 16.645042811815536, 576.75103605166078
20.85, 0.04699973773915898, 0.002368926718506597,  0.648985567601808, 7.67673937043256e-005, -8.642865323979739e-005, -0.0003507693572110758, 0.04951493360312016, 0.001633813889048984, 0.6457313853163996, 0.7876988425, 117571.7514, 25.9590340486, 1044.78807845,  16.78638325716884, -0.04012991054165915,  19.80119126396982,  16.78638325716884, -0.04012991054165915,  19.80119126396982, -871.5708598524615,   -576.12339628182, -5.310120155712133,  14.75520347549282,  3.785927254412889,  21.01956645351347, 576.5408452563, 576.5408452563, 0.1648867995145828, -4.358966554036825,  14.75592750183667, 49.710517691627, -0.088573227253506, 47.000965415488, 122.00016407725, -7581122.677916708,  12091289.19388639,  15304713.71215285, -7562721.428739185,  12102807.11319097,  15304713.71215285, 0.087154626398531, 576.5408452563, 0, 16.645042793655612, 576.54084525629878
20.86, 0.04700057825966165, 0.002368413484788483, 0.6489820674945298, 7.616106046186133e-005, -8.379742664066133e-005, -0.0003497921666886289, 0.04951569218575491, 0.001632989071867355, 0.6457278922803724, 0.787698845, 117571.9817, 25.9589539941, 1044.78972454,  16.78633145305744, -0.04013006388453366,  19.80113023017997,  16.78633145305744, -0.04013006388453366,  19.80113023017997, -871.5720489782531, -576.1245799582883, -5.310396472833898,  14.75472757722137,  3.787600224248051,  21.01950025722924, 576.33065512404, 576.33065512776, 0.1648621102477106, -4.358961125651835,   14.7624363189942, 49.710517797614, -0.088573838857777, 47.000965819474, 122.00016422922,  -7581131.39361936,  12091283.43265835,  15304713.65905303,  -7562721.32769141,  12102806.88005393,  15304713.65905303, 0.087196407139853, 576.33065512776, 0, 16.645042780316171, 576.33065512403846
20.87, 0.04700141280537741, 0.002367925864128663, 0.6489785770580011, 7.555829253376868e-005, -8.121212020373205e-005, -0.0003488215595235723, 0.04951644475847228, 0.001632189878143654, 0.6457244089175048, 0.7876988478, 117572.212, 25.9588739443, 1044.79137056,  16.78627965420529, -0.0401302155430342,  19.80106919823347,  16.78627965420529, -0.0401302155430342,  19.80106919823347, -871.5732381133806, -576.1257634894593, -5.310672916532598,  14.75425149637614,   3.78927312456397,  21.01943406373303, 576.12046565115, 576.12046564743,  0.164837432639582,  -4.35895569937359,  14.76894510108365, 49.710517897377, -0.088574446731715, 47.000966223447, 122.00016438125, -7581140.109333905,  12091277.67141847,  15304713.60595045, -7562721.226659904,  12102806.64691136,  15304713.60595045, 0.087238187881176, 576.12046564743, 0, 16.645042771880323, 576.12046565115452
20.88, 0.04700224141168431, 0.002367463402198036, 0.6489750962271367, 7.495907252473715e-005, -7.867240890597864e-005, -0.0003478574851974445, 0.04951719135666508, 0.001631415853551835, 0.6457209351627217, 0.7876988508, 117572.4423, 25.9587938993, 1044.79301651,  16.78622786053417, -0.04013036552738536,  19.80100816811885,  16.78622786053417, -0.04013036552738536,  19.80100816811885, -871.5744272578885,  -576.126946875306, -5.310949486735282,  14.75377523297308,  3.790945955383311,  21.01936787294045, 575.91027684137, 575.91027684137, 0.1648127666230038, -4.358950274949872,  14.77545384820241, 49.710517991033, -0.088575050898054, 47.000966627407, 122.00016453334,  -7581148.82506034,  12091271.91016675,   15304713.5528451, -7562721.125644671,  12102806.41376326,   15304713.5528451, 0.087279968622498, 575.91027684137, 0, 16.645042768140296, 575.91027684137225
20.89, 0.04700306411406659, 0.00236702564727201,  0.648971624937366, 7.436340172573668e-005, -7.617801075015476e-005, -0.0003468998924521812, 0.04951793201583202, 0.001630666546370363, 0.6457174709514629, 0.7876988541, 117572.6726, 25.958713859, 1044.79466239,  16.78617607196615, -0.04013051384725219,   19.8009471398242,  16.78617607196615, -0.04013051384725219,   19.8009471398242, -871.5756164118203, -576.1281301158017, -5.311226183370603,  14.75329878702673,  3.792618716728609,  21.01930168476798, 575.70008869097, 575.70008868724,  0.164788112131205, -4.358944852132982,  14.78196256044724, 49.710518078696, -0.088575651378296, 47.000967031353, 122.00016468551, -7581157.540798667,   12091266.1489032,  15304713.49973699, -7562721.024645707,  12102806.18060963,  15304713.49973699, 0.087321749363821, 575.70008868724, 0, 16.645042769054523, 575.70008869096637
20.9, 0.04700388094661819, 0.002366612151112267, 0.6489681631244528, 7.3771187825783e-005, -7.372859933580583e-005, -0.0003459487420059973, 0.04951866677008129, 0.00162994150836399, 0.6457140162195021, 0.7876988577, 117572.903, 25.9586338233, 1044.7963082,  16.78612428842394, -0.04013066051274072,  19.80088611333786,  16.78612428842394, -0.04013066051274072,  19.80088611333786, -871.5768055752194, -576.1293132109191, -5.311503006368795,  14.75282215855084,  3.794291408621407,  21.01923549913351, 575.48990120739, 575.48990120739,  0.164763469097833, -4.358939430679711,  14.78847123791421, 49.710518160478, -0.088576248194912, 47.000967435287, 122.00016483774, -7581166.256548885,  12091260.38762782,  15304713.44662611, -7562720.923663015,  12102805.94745048,  15304713.44662611, 0.087363530105143, 575.48990120739, 0, 16.645042774539903, 575.48990120738745
20.91, 0.04700469194434852, 0.002366222468259284, 0.6489647107247977, 7.318246111500717e-005, -7.132388058720975e-005, -0.0003450039782761617, 0.04951939565443628, 0.001629240294076267, 0.6457105709032497, 0.7876988615, 117573.1334, 25.9585537921, 1044.79795393,  16.78607250983046, -0.04013080553387027,  19.80082508864786,  16.78607250983046, -0.04013080553387027,  19.80082508864786, -871.5779947481288, -576.1304961606306, -5.311779955661664,  14.75234534755784,  3.795964031082671,  21.01916931595585, 575.27971438318, 575.27971438318, 0.1647388374569661, -4.358934010351298,  14.79497988069877, 49.710518236493, -0.088576841370186, 47.000967839208, 122.00016499003, -7581174.972310995,   12091254.6263406,  15304713.39351246, -7562720.822696594,   12102805.7142858,  15304713.39351246, 0.087405310846465, 575.27971438318, 0, 16.645042784596427, 575.27971438318491
