TIME,Roll (deg),Pitch (deg),Yaw (deg),,Adjusted time,Pitch with first 40sec neglected
320.019227,3.980183909,18.92425107,-21.22931726,,29.062159,16.00553342
320.039744,4.237795559,19.1111458,-21.84556473,,29.080165,15.83833839
320.059924,4.548687266,19.30306639,-22.38060101,,29.099729,15.64619139
320.07975,4.856984525,19.49202277,-22.90271734,,29.119613,15.45038884
320.099916,5.185421018,19.7183684,-23.35179121,,29.143252,15.21744011
320.11923,5.500597258,19.93656733,-23.77849135,,29.162122,15.03148079
320.141361,5.830989011,20.24543956,-24.16758019,,29.180185,14.84704662
320.15973,6.103768934,20.50458049,-24.48582343,,29.199625,14.64807552
320.179596,6.395097019,20.88995806,-24.76088448,,29.21959,14.54035237
320.199376,6.68495048,21.27976099,-25.03074805,,29.240027,14.43415198
320.219578,6.951354125,21.70311511,-25.22023331,,29.262374,14.34394998
320.239569,7.213404729,22.12338494,-25.4031743,,29.280115,14.27310288
320.259878,7.457113574,22.55691182,-25.51885339,,29.299777,14.23189371
320.279994,7.697024126,22.98675156,-25.6288124,,29.319593,14.19190885
320.299558,7.883338405,23.36136163,-25.66755343,,29.339995,14.12213369
320.319458,8.070036513,23.73980374,-25.70287469,,29.365169,14.03432187
320.341101,8.25255721,23.99345976,-25.67938361,,29.380288,13.98190159
320.359718,8.408647662,24.20464095,-25.65642913,,29.399908,13.91391233
320.379671,8.562659542,24.28657445,-25.58818522,,29.419452,13.81805372
320.399398,8.71397116,24.35718654,-25.51757313,,29.440034,13.7152876
320.419436,8.772031154,24.33161937,-25.4438081,,29.462187,13.57536957
320.439694,8.82678116,24.30175573,-25.369149,,29.480815,13.45647814
320.459795,8.796835367,24.22419512,-25.28421699,,29.499607,13.35811495
320.479823,8.761709969,24.1439085,-25.19891246,,29.519561,13.25497752
320.499187,8.629565041,24.04217378,-25.13885898,,29.542844,13.15114685
320.51943,8.485979481,23.93448461,-25.07732231,,29.562092,13.0658993
320.541216,8.284818267,23.86836366,-25.01312334,,29.580648,12.88944253
320.559822,8.111416589,23.81360524,-24.95836491,,29.599913,12.69867443
320.579665,7.899400734,23.82432852,-24.91655029,,29.619576,12.62948537
320.599255,7.688328673,23.83940509,-24.87634609,,29.640213,12.56301172
320.619399,7.51290573,23.86864473,-24.87475967,,29.662183,12.55478557
320.639722,7.337599507,23.89869723,-24.87475967,,29.680399,12.55026996
320.659781,7.191654685,23.92862317,-24.89861231,,29.699509,12.6103532
320.679861,7.046802567,23.95859257,-24.92358682,,29.719454,12.67714996
320.699507,6.912960755,23.93647421,-25.0094525,,29.742639,12.75804725
320.719568,6.776697358,23.91124025,-25.10029477,,29.761982,12.8256423
320.741286,6.693368079,23.85891205,-25.23247954,,29.780809,12.92340878
320.759695,6.625322688,23.81354846,-25.34588853,,29.799845,13.02455381
320.77967,6.615280833,23.74865083,-25.46330051,,29.819558,13.09070868
320.799289,6.610285671,23.68371372,-25.57818925,,29.839981,13.15705358
320.819437,6.643032889,23.64696711,-25.70273427,,29.861991,13.1860621
320.83985,6.678473883,23.61152612,-25.82930925,,29.880489,13.20890703
320.859908,6.718043193,23.64328779,-25.93462305,,29.899568,13.18666897
320.880223,6.758339739,23.67854727,-26.04040149,,29.919407,13.16122849
320.899531,6.821230875,23.73652081,-26.11541068,,29.942727,13.1909473
320.919368,6.886990004,23.79722154,-26.1912866,,29.962258,13.2179767
320.940993,6.93060465,23.86090698,-26.25059107,,29.980774,13.2384637
320.959905,6.967671558,23.91650734,-26.30155807,,29.999832,13.25909706
320.979647,7.017466039,23.93898642,-26.30950628,,30.019635,13.30731958
320.999403,7.068007112,23.95920284,-26.31456038,,30.039966,13.35803677
321.019585,7.146955951,23.99847798,-26.25223296,,30.061989,13.39139485
321.039681,7.226660469,24.03833023,-26.18747304,,30.080489,13.41874486
321.059975,7.327223541,24.06916706,-26.06809142,,30.099704,13.42
321.079749,7.426056479,24.09881694,-25.9494919,,30.119585,13.42
321.099731,7.52193672,24.09032245,-25.77540256,,30.142767,13.40447018
321.119306,7.615703265,24.08045229,-25.60267471,,30.162055,13.3909616
321.141005,7.691374164,23.99333137,-25.40612795,,30.180507,13.36708255
321.159883,7.756146852,23.91467882,-25.23494299,,30.199916,13.34103859
321.179671,7.830994776,23.79167537,-25.03070728,,30.219563,13.3353023
321.199471,7.906306674,23.66615554,-24.82485476,,30.240052,13.33020236
321.219238,7.947605162,23.53778322,-24.60323064,,30.262383,13.40415981
321.239653,7.988449457,23.40503926,-24.37348148,,30.280679,13.4672153
321.259772,8.018599872,23.27606722,-24.14072734,,30.299514,13.55788018
321.279812,8.048228771,23.14767532,-23.9086343,,30.31951,13.65535908
321.29984,8.07394334,23.08253598,-23.63138294,,30.342501,13.77350204
321.319258,8.098634352,23.02327755,-23.3597818,,30.361927,13.87354698
321.341314,8.115399256,23.02,-23.0521738,,30.38052,14.03168995
321.359831,8.128989383,23.02,-22.79396141,,30.399881,14.20105957
321.379678,8.13,23.09603365,-22.48963347,,30.419737,14.38321849
321.399291,8.13,23.17677258,-22.18686249,,30.44003,14.56985558
321.419294,8.10633944,23.25098168,-21.88136872,,30.462336,14.77257002
321.439643,8.081287733,23.3261368,-21.57072757,,30.480644,14.93884705
321.459898,8.037012955,23.38253972,-21.25862669,,30.499567,15.17891925
321.479951,7.992137156,23.43738792,-20.9494823,,30.519568,15.43767109
321.499836,7.961318182,23.46390152,-20.63838089,,30.540029,15.73790608
321.519491,7.931537879,23.48871843,-20.33065109,,30.564666,16.10150778
321.541302,7.945448693,23.48485044,-20.00063626,,30.580731,16.39256908
321.559747,7.959150901,23.48028303,-19.72202468,,30.599979,16.74676903
321.579546,8.059752005,23.48950019,-19.38175318,,30.619462,16.98665188
321.599417,8.166000509,23.4996191,-19.0377104,,30.639906,17.23359661
321.619474,8.332654477,23.50478396,-18.68988281,,30.662172,17.44705449
321.639623,8.502384917,23.50977603,-18.34043779,,30.680524,17.6200191
321.65975,8.691403099,23.55773766,-17.97627477,,30.699401,17.87996557
321.679888,8.881440846,23.60774759,-17.61120226,,30.719793,18.16604132
321.69965,9.047842466,23.62434932,-17.27907474,,30.742763,18.4324145
321.719277,9.212147641,23.63928615,-16.95046439,,30.762191,18.65557303
321.741056,9.301069727,23.64506686,-16.6307482,,30.780562,18.88705478
321.759783,9.373916172,23.64961976,-16.35757403,,30.799743,19.13031085
321.779679,9.398739586,23.60315104,-16.06772057,,30.819692,19.41084706
321.799493,9.418994122,23.55251469,-15.77909343,,30.840012,19.69771765
321.819759,9.405581036,23.48751782,-15.48118671,,30.862162,19.94071161
321.839642,9.390712648,23.42308814,-15.18877508,,30.880597,20.14057855
321.859883,9.365789527,23.37642115,-14.89876028,,30.899554,20.36702645
321.879676,9.340945172,23.33170131,-14.61553464,,30.919663,20.60830159
321.899621,9.344805569,23.25791647,-14.34045339,,30.942688,20.86431569
321.91952,9.349788166,23.1831775,-14.06641052,,30.962346,21.08212784
321.941175,9.355130677,23.0466024,-13.82387921,,30.980667,21.34620876
321.959819,9.359727551,22.92708368,-13.61701989,,30.999758,21.62753336
321.979651,9.36,22.73493653,-13.46240315,,31.019516,21.81327258
321.99948,9.36,22.5389829,-13.31166959,,31.040084,22.00171751
322.01939,9.388520038,22.32085305,-13.18117284,,31.062153,22.21336421
322.039621,9.418886276,22.09816731,-13.04958581,,31.080748,22.39203454
322.059653,9.482531481,21.90721567,-12.93893717,,31.099656,22.60017432
322.079608,9.547218662,21.71813007,-12.82946655,,31.119549,22.82043362
322.099763,9.656183937,21.67138766,-12.73305536,,31.139949,22.94156318
322.119443,9.764475376,21.63200895,-12.63953094,,31.164733,23.08309583
322.141151,9.932807293,21.6656141,-12.5482683,,31.180613,23.09840263
322.159938,10.08054013,21.69793065,-12.46978523,,31.199946,23.10947537
322.17962,10.20830649,21.76625163,-12.44583064,,31.219609,23.08655687
322.199441,10.33520474,21.83731466,-12.42552691,,31.240093,23.06094163
322.219418,10.3352527,21.85424191,-12.48647461,,31.262155,22.91811167
322.239696,10.33024615,21.86926154,-12.55155966,,31.280432,22.79641224
322.259907,10.20057083,21.87,-12.68418884,,31.299473,22.66469361
322.279865,10.06612993,21.87,-12.81862974,,31.319394,22.52661258
322.29979,9.838906526,21.89883828,-12.99298297,,31.342432,22.42311128
322.319247,9.612673778,21.9283469,-13.16511658,,31.362276,22.33605006
322.341215,9.256814033,22.02732139,-13.384769,,31.380707,22.22466158
322.359707,8.952848381,22.11352061,-13.57077783,,31.399886,22.10618366
322.379677,8.523238806,22.17675738,-13.82597852,,31.419418,21.92091659
322.399479,8.089725072,22.23724766,-14.08306225,,31.44,21.72201234
322.419372,7.609610656,22.2587914,-14.34374575,,31.46215,21.43039774
322.439872,7.112665545,22.27907488,-14.61250178,,31.480657,21.18289217
322.460073,6.622050781,22.26552734,-14.88044327,,31.499738,20.90406067
322.479534,6.149365234,22.2509082,-15.13871475,,31.519476,20.6143267
322.49969,5.676912342,22.25476438,-15.40250761,,31.542675,20.24201639
322.519515,5.213292094,22.25974955,-15.66173614,,31.56199,19.93087687
322.541126,4.787641812,22.26509314,-15.8988579,,31.58069,19.6261835
322.559795,4.423265145,22.2697055,-16.10180187,,31.599915,19.31267096
322.579489,4.11281883,22.27470789,-16.27482787,,31.619571,19.17277032
322.599409,3.80362799,22.27977659,-16.44716374,,31.639933,19.03554638
322.619529,3.574962873,22.31345022,-16.57422474,,31.662053,18.95747489
322.639602,3.350638985,22.34834505,-16.69884913,,31.680689,18.89401158
